NO_ASET,SUB_ASET,NO_ITEM,NJOP,NO_PBB,TGL_PBB,CREATED_BY,CREATED_ON,MODIFIED_BY,MODIFIED_ON,PERIODE,TAHUN,KETERANGAN_PBB
120504003269,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,256,Fri Dec 08 2023 12:02:42 GMT+0700 (Western Indonesia Time),6,2023,
120502003361,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,117,Fri Dec 08 2023 12:03:11 GMT+0700 (Western Indonesia Time),6,2023,
120504000707,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,262,Fri Dec 08 2023 12:03:37 GMT+0700 (Western Indonesia Time),6,2023,
120503000031,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,256,Fri Dec 08 2023 12:03:42 GMT+0700 (Western Indonesia Time),6,2023,
120509000805,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,117,Fri Dec 08 2023 12:04:10 GMT+0700 (Western Indonesia Time),6,2023,
120503000024,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,256,Fri Dec 08 2023 12:04:23 GMT+0700 (Western Indonesia Time),6,2023,
120505001245,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,256,Fri Dec 08 2023 12:04:34 GMT+0700 (Western Indonesia Time),6,2023,
120504000803,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,262,Fri Dec 08 2023 12:04:36 GMT+0700 (Western Indonesia Time),6,2023,
120503000046,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,256,Fri Dec 08 2023 12:04:59 GMT+0700 (Western Indonesia Time),6,2023,
120505001321,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,256,Fri Dec 08 2023 12:05:29 GMT+0700 (Western Indonesia Time),6,2023,
120504000864,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,256,Fri Dec 08 2023 12:06:04 GMT+0700 (Western Indonesia Time),6,2023,
120504000716,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,256,Fri Dec 08 2023 12:06:39 GMT+0700 (Western Indonesia Time),6,2023,
120505002460,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,117,Fri Dec 08 2023 12:06:58 GMT+0700 (Western Indonesia Time),6,2023,
120505001179,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,256,Fri Dec 08 2023 12:07:23 GMT+0700 (Western Indonesia Time),6,2023,
120505001081,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,133,Tue Dec 05 2023 17:24:32 GMT+0700 (Western Indonesia Time),6,2023,
120507003544,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,140,Thu Dec 07 2023 16:01:16 GMT+0700 (Western Indonesia Time),6,2023,
120505001066,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,133,Tue Dec 05 2023 17:25:35 GMT+0700 (Western Indonesia Time),6,2023,
120605000320,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,195,Tue Dec 05 2023 17:27:48 GMT+0700 (Western Indonesia Time),6,2023,
120507000376,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,243,Tue Dec 05 2023 17:27:52 GMT+0700 (Western Indonesia Time),6,2023,
120605000319,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,195,Tue Dec 05 2023 17:27:52 GMT+0700 (Western Indonesia Time),6,2023,
120605000309,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,195,Tue Dec 05 2023 17:27:56 GMT+0700 (Western Indonesia Time),6,2023,
120505001046,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,133,Tue Dec 05 2023 17:27:58 GMT+0700 (Western Indonesia Time),6,2023,
120605000308,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,195,Tue Dec 05 2023 17:27:59 GMT+0700 (Western Indonesia Time),6,2023,
120605000307,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,195,Tue Dec 05 2023 17:28:02 GMT+0700 (Western Indonesia Time),6,2023,
120605000306,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,195,Tue Dec 05 2023 17:28:06 GMT+0700 (Western Indonesia Time),6,2023,
