NO_ASET,SUB_ASET,NILAI_SUSUT,AKUMULASI_PENYUSUTAN,NILAI_PEROLEHAN,NILAI_BUKU,NILAI_RESIDU,PERIODE,TAHUN,CREATED_BY,CREATED_ON,PENURUNAN_AKUMULASI_NILAI,PEMULIHAN_AKUMULASI_NILAI,AKUMULASI_PENYUSUTAN_NEW,PENYUSUTAN_SD_BLN_BERJALAN
120502000110,0,0,108,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000111,0,0,108,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000112,0,0,108,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000113,0,0,108,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000114,0,0,108,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000115,0,0,108,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000116,0,0,108,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000117,0,0,108,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000118,0,0,108,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000119,0,0,108,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000120,0,0,108,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000121,0,0,108,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000127,0,0,108,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000128,0,0,108,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000129,0,0,108,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000130,0,0,108,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000131,0,0,108,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000132,0,0,108,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000133,0,0,144,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000134,0,0,264,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000141,0,0,48,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000143,0,0,192,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000144,0,0,312,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000145,0,0,36,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000146,0,0,96,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000147,0,0,312,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000148,0,0,312,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000149,0,0,360,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000151,0,0,384,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000152,0,0,384,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000153,0,0,300,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000154,0,0,300,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000155,0,0,300,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000156,0,0,108,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000157,0,0,192,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000158,0,0,72,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000159,0,0,120,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000160,0,0,420,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000161,0,0,276,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000600,0,0,96,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:24 GMT+0700 (Western Indonesia Time),,,,
120502000601,0,0,96,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:24 GMT+0700 (Western Indonesia Time),,,,
120502000602,0,0,96,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:24 GMT+0700 (Western Indonesia Time),,,,
120502000603,0,0,96,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:24 GMT+0700 (Western Indonesia Time),,,,
120502000604,0,0,96,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:24 GMT+0700 (Western Indonesia Time),,,,
120502000605,0,0,96,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:24 GMT+0700 (Western Indonesia Time),,,,
120502000606,0,0,96,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:24 GMT+0700 (Western Indonesia Time),,,,
120502000607,0,0,96,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:24 GMT+0700 (Western Indonesia Time),,,,
120502000608,0,0,96,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:24 GMT+0700 (Western Indonesia Time),,,,
120502000609,0,0,24,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:24 GMT+0700 (Western Indonesia Time),,,,
120502000610,0,0,360,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:24 GMT+0700 (Western Indonesia Time),,,,
